"restaurant_id","month","prev_month_orders","cr_month_orders","growth_ratio"
3,"08-24",NULL,"1",NULL
5,"08-24",NULL,"1",NULL
8,"07-24",NULL,"1",NULL
9,"09-24",NULL,"1",NULL
10,"09-24",NULL,"1",NULL
13,"08-24",NULL,"1",NULL
14,"07-24",NULL,"1",NULL
14,"08-24","1","1","0.00"
15,"09-24",NULL,"1",NULL
16,"08-24",NULL,"1",NULL
17,"09-24",NULL,"1",NULL
18,"08-24",NULL,"1",NULL
18,"09-24","1","1","0.00"
19,"07-24",NULL,"1",NULL
20,"08-24",NULL,"2",NULL
21,"07-24",NULL,"1",NULL
21,"09-24","1","1","0.00"
22,"08-24",NULL,"2",NULL
23,"08-24",NULL,"1",NULL
24,"08-24",NULL,"1",NULL
25,"08-24",NULL,"2",NULL
27,"08-24",NULL,"1",NULL
28,"08-24",NULL,"1",NULL
29,"08-24",NULL,"1",NULL
30,"08-24",NULL,"1",NULL
31,"07-24",NULL,"1",NULL
31,"08-24","1","1","0.00"
32,"07-24",NULL,"1",NULL
33,"08-24",NULL,"1",NULL
35,"08-24",NULL,"1",NULL
36,"08-24",NULL,"1",NULL
37,"07-24",NULL,"1",NULL
39,"08-24",NULL,"2",NULL
41,"08-24",NULL,"2",NULL
43,"09-24",NULL,"1",NULL
44,"08-24",NULL,"1",NULL
45,"07-24",NULL,"1",NULL
48,"08-24",NULL,"1",NULL
49,"08-24",NULL,"1",NULL
