"rider_id","month","revenue","riders_earning"
1,"07-24","458","36.64"
2,"07-24","654","52.32"
3,"07-24","123","9.84"
3,"08-24","820","65.6"
4,"08-24","6648","531.84"
4,"09-24","2502","200.16"
5,"07-24","987","78.96000000000001"
5,"08-24","435","34.800000000000004"
6,"07-24","562","44.96"
6,"08-24","587","46.96"
7,"07-24","15","1.2"
7,"08-24","1837","146.96"
8,"08-24","1168","93.44"
9,"08-24","14","1.12"
10,"09-24","406","32.480000000000004"
11,"07-24","236","18.88"
11,"09-24","381","30.48"
13,"07-24","321","25.68"
15,"08-24","120","9.6"
19,"08-24","280","22.400000000000002"
23,"08-24","718","57.44"
28,"09-24","263","21.04"
31,"07-24","789","63.120000000000005"
31,"08-24","3128","250.24"
31,"09-24","528","42.24"
32,"08-24","820","65.6"
