"restaurant_name","day","total_orders","rank"
"Blue Anchor Tavern","Sunday   ","1","1"
"Brick Oven Delights","Wednesday","1","1"
"Brick Oven Delights","Thursday ","1","1"
"Coastal Catch","Friday   ","1","1"
"Coastal Catch","Monday   ","1","1"
"Crimson Spoon Bistro","Sunday   ","1","1"
"Firefly Grill","Wednesday","1","1"
"Golden Ladle Soup House","Tuesday  ","1","1"
"Harbor View Seafood","Monday   ","1","1"
"Harbor View Seafood","Thursday ","1","1"
"Iron Skillet Grill","Thursday ","1","1"
"Midnight Munchies","Monday   ","1","1"
"Midnight Munchies","Saturday ","1","1"
"Moonbeam Bakery & Cafe","Friday   ","1","1"
"Morning Glory Cafe","Saturday ","1","1"
"Ocean Mist Grill","Monday   ","1","1"
"Riverside Ribs","Monday   ","1","1"
"Saffron & Sage","Saturday ","1","1"
"Secret Garden Cafe","Wednesday","1","1"
"Secret Garden Cafe","Tuesday  ","1","1"
"Starlight Diner","Tuesday  ","1","1"
"Stone & Skillet","Tuesday  ","1","1"
"Sugar Maple Bistro","Sunday   ","1","1"
"Sugar Maple Bistro","Thursday ","1","1"
"The Bluebird Bistro","Sunday   ","1","1"
"The Bluebird Bistro","Saturday ","1","1"
"The Cinnamon Swirl","Friday   ","1","1"
"The Cozy Kettle","Friday   ","1","1"
"The Curious Palate","Wednesday","1","1"
"The Daily Dish","Thursday ","1","1"
"The Flying Fish","Friday   ","1","1"
"The Ginger Jar","Sunday   ","1","1"
"The Golden Crumb","Wednesday","1","1"
"The Green Sprout","Tuesday  ","1","1"
"The Green Sprout","Thursday ","1","1"
"The Harbor Light","Tuesday  ","1","1"
"The Hidden Gem","Wednesday","1","1"
"The Hungry Nomad","Tuesday  ","1","1"
"The Hungry Nomad","Saturday ","1","1"
"The Roaming Rooster","Friday   ","1","1"
"The Savory Spoon","Sunday   ","1","1"
"The Spice Route","Saturday ","1","1"
"The Spicy Olive","Friday   ","1","1"
"The Sweet Spot Dessert Bar","Monday   ","1","1"
"The Velvet Vine","Wednesday","1","1"
"The Velvet Vine","Thursday ","1","1"
"Thirsty Traveler Pub","Saturday ","1","1"
"Urban Bites Cafe","Sunday   ","1","1"
"Whispering Pines Eatery","Monday   ","1","1"
