"city","dish","total_orders","rank"
"berlin","Noodles","1","1"
"berlin","Pretzels","1","1"
"berlin","Jelly","1","1"
"berlin","Tuna Salad","1","1"
"berlin","Guacamole","1","1"
"berlin","Fries","1","1"
"berlin","Pancakes","1","1"
"berlin","organe juice","1","1"
"berlin","Pizza","1","1"
"dublin","Sandwich","1","1"
"dublin","Yogurt","1","1"
"dublin","Chocolate Cake","1","1"
"dublin","Quesadilla","1","1"
"dublin","Eggs","1","1"
"dublin","Brownie","1","1"
"dublin","Chips","1","1"
"dublin","Crackers","1","1"
"dublin","Fruit Salad","1","1"
"dublin","Steak","1","1"
"dublin","Salmon","1","1"
"dublin","Muffin","1","1"
"newyork","Cheese","1","1"
"newyork","Donut","1","1"
"newyork","Shrimp","1","1"
"newyork","Soup","1","1"
"newyork","Burger","1","1"
"newyork","Chicken Wings","1","1"
"newyork","Popcorn","1","1"
"newyork","Waffles","1","1"
"newyork","Ice Cream","1","1"
"newyork","Rice","1","1"
"newyork","Vegetable Stir-fry","1","1"
"newyork","Bacon","1","1"
"tokyo","Salsa","1","1"
"tokyo","Toast","1","1"
"tokyo","Omelette","1","1"
"tokyo","Salad","1","1"
"tokyo","Burrito","1","1"
"tokyo","Cookies","1","1"
"tokyo","Taco","1","1"
"tokyo","Apple Pie","1","1"
"tokyo","Sushi","1","1"
"tokyo","Hot Dog","1","1"
"tokyo","Pasta","1","1"
"tokyo","Croissant","1","1"
"tokyo","Cereal","1","1"
"tokyo","Peanut Butter","1","1"
"tokyo","Olives","1","1"
"tokyo","Hummus","1","1"
